date,daily_total,dow,week_weekend,device,temp,prcp
2015-10-31,15907,Sat,Weekend,Accupedo,9.8,0
2015-11-01,13139,Sun,Weekend,Accupedo,10.1,0
2015-11-02,65333,Mon,Weekday,Accupedo,7.6,0
2015-11-03,27774,Tue,Weekday,Accupedo,11.2,0
2015-11-04,4420,Wed,Weekday,Accupedo,13.2,0.5
2015-11-05,12298,Thu,Weekday,Accupedo,13.9,0.8
2015-11-06,19853,Fri,Weekday,Accupedo,15.5,2.5
2015-11-07,13343,Sat,Weekend,Accupedo,17.3,1.5
2015-11-08,5947,Sun,Weekend,Accupedo,14.1,0.5
2015-11-09,23234,Mon,Weekday,Accupedo,14.4,0.5
2015-11-10,29266,Tue,Weekday,Accupedo,13.4,0.5
2015-11-11,3433,Wed,Weekday,Accupedo,12,0.3
2015-11-12,29079,Thu,Weekday,Accupedo,12.9,0
2015-11-13,33334,Fri,Weekday,Accupedo,11.7,0.3
2015-11-14,3780,Sat,Weekend,Accupedo,8.8,1.8
2015-11-15,10452,Sun,Weekend,Accupedo,13.6,2.8
2015-11-16,16903,Mon,Weekday,Accupedo,12.2,0
2015-11-17,22147,Tue,Weekday,Accupedo,14.1,2.5
2015-11-18,20760,Wed,Weekday,Accupedo,13.1,7.1
2015-11-19,21982,Thu,Weekday,Accupedo,11.3,3.8
2015-11-20,21127,Fri,Weekday,Accupedo,8.1,18.3
2015-11-21,20060,Sat,Weekend,Accupedo,3.8,0
2015-11-22,6239,Sun,Weekend,Accupedo,2.5,4.1
2015-11-23,19084,Mon,Weekday,Accupedo,1.9,1.5
2015-11-24,17620,Tue,Weekday,Accupedo,3.3,0
2015-11-25,14510,Wed,Weekday,Accupedo,5.8,4.8
2015-11-26,23827,Thu,Weekday,Accupedo,4.7,3.8
2015-11-27,20093,Fri,Weekday,Accupedo,3.7,0
2015-11-28,24237,Sat,Weekend,Accupedo,6.1,2
2015-11-29,15162,Sun,Weekend,Accupedo,9.7,4.1
2015-11-30,17748,Mon,Weekday,Accupedo,10,9.9
2015-12-01,29786,Tue,Weekday,Accupedo,11.4,20.1
2015-12-02,1390,Wed,Weekday,Accupedo,10.6,0
2015-12-03,24396,Thu,Weekday,Accupedo,9.1,0
2015-12-04,4488,Fri,Weekday,Accupedo,8.7,0
2015-12-05,10245,Sat,Weekend,Accupedo,7.4,3.8
2015-12-06,6414,Sun,Weekend,Accupedo,9.6,0
2015-12-07,21366,Mon,Weekday,Accupedo,10.4,0
2015-12-08,23269,Tue,Weekday,Accupedo,10,0
2015-12-09,25503,Wed,Weekday,Accupedo,7.1,2
2015-12-10,25480,Thu,Weekday,Accupedo,4.4,0
2015-12-11,17788,Fri,Weekday,Accupedo,6.6,0
2015-12-12,16149,Sat,Weekend,Accupedo,8.3,13.5
2015-12-13,7879,Sun,Weekend,Accupedo,8.2,0
2015-12-14,10508,Mon,Weekday,Accupedo,6.9,3.3
2015-12-15,8917,Tue,Weekday,Accupedo,8.3,0
2015-12-16,13536,Wed,Weekday,Accupedo,11.9,4.1
2015-12-17,9934,Thu,Weekday,Accupedo,13.9,0
2015-12-18,7877,Fri,Weekday,Accupedo,11.6,0
2015-12-19,4425,Sat,Weekend,Accupedo,12.4,0
2015-12-20,14875,Sun,Weekend,Accupedo,11.8,0
2015-12-21,10504,Mon,Weekday,Accupedo,10.6,1.3
2015-12-22,7594,Tue,Weekday,Accupedo,12.1,8.6
2015-12-23,23411,Wed,Weekday,Accupedo,10.2,3.3
2015-12-24,10038,Thu,Weekday,Accupedo,10.2,0.5
2015-12-25,1556,Fri,Weekday,Accupedo,9.9,1.8
2015-12-26,2657,Sat,Weekend,Accupedo,12.1,1.5
2015-12-27,3620,Sun,Weekend,Accupedo,10.7,0
2015-12-28,13179,Mon,Weekday,Accupedo,8.3,0
2015-12-29,5141,Tue,Weekday,Accupedo,8.6,0
2015-12-30,27443,Wed,Weekday,Accupedo,7.4,0
2015-12-31,26315,Thu,Weekday,Accupedo,8,0
2016-01-01,14699,Fri,Weekday,Accupedo,5.6,1.8
2016-01-02,14341,Sat,Weekend,Accupedo,7.9,1
2016-01-03,7195,Sun,Weekend,Accupedo,6.6,7.4
2016-01-04,20352,Mon,Weekday,Accupedo,6.7,11.7
2016-01-05,31129,Tue,Weekday,Accupedo,6.7,0
2016-01-06,26495,Wed,Weekday,Accupedo,6.4,0.5
2016-01-07,21109,Thu,Weekday,Accupedo,6.4,7.1
2016-01-08,26014,Fri,Weekday,Accupedo,4.6,0
2016-01-09,7948,Sat,Weekend,Accupedo,6.2,1.5
2016-01-10,6352,Sun,Weekend,Accupedo,6.7,1
2016-01-11,20982,Mon,Weekday,Accupedo,5.7,1.8
2016-01-12,29981,Tue,Weekday,Accupedo,5.7,0
2016-01-13,24191,Wed,Weekday,Accupedo,4.9,2.8
2016-01-14,35048,Thu,Weekday,Accupedo,3.2,0
2016-01-15,13419,Fri,Weekday,Accupedo,1.8,39.9
2016-01-16,19410,Sat,Weekend,Accupedo,2.5,0.5
2016-01-17,4980,Sun,Weekend,Accupedo,-0.2,0
2016-01-18,23500,Mon,Weekday,Accupedo,-3.9,0.5
2016-01-19,30320,Tue,Weekday,Accupedo,-2.9,0
2016-01-20,22211,Wed,Weekday,Accupedo,0.1,0.3
2016-01-21,11522,Thu,Weekday,Accupedo,0.3,0
2016-01-22,10206,Fri,Weekday,Accupedo,1.8,0
2016-01-23,5100,Sat,Weekend,Accupedo,6.1,0
2016-01-24,8010,Sun,Weekend,Accupedo,7.4,0
2016-01-25,5934,Mon,Weekday,Accupedo,10.3,0
2016-01-26,11687,Tue,Weekday,Accupedo,9.9,0
2016-01-27,11633,Wed,Weekday,Accupedo,10.2,3.8
2016-01-28,13786,Thu,Weekday,Accupedo,6.2,8.4
2016-01-29,14912,Fri,Weekday,Accupedo,7.6,0
2016-01-30,11247,Sat,Weekend,Accupedo,6.6,0.5
2016-01-31,10607,Sun,Weekend,Accupedo,7.2,0
2016-02-01,21880,Mon,Weekday,Accupedo,10.9,0.8
2016-02-02,24849,Tue,Weekday,Accupedo,8.3,10.9
2016-02-03,23416,Wed,Weekday,Accupedo,4.7,1
2016-02-04,25571,Thu,Weekday,Accupedo,5.8,5.1
2016-02-05,28598,Fri,Weekday,Accupedo,8.9,0.3
2016-02-06,10578,Sat,Weekend,Accupedo,9.8,0
2016-02-07,6744,Sun,Weekend,Accupedo,8.5,3.3
2016-02-08,23862,Mon,Weekday,Accupedo,7.9,13
2016-02-09,25329,Tue,Weekday,Accupedo,4.8,18
2016-02-10,22218,Wed,Weekday,Accupedo,4.2,4.6
2016-02-11,25518,Thu,Weekday,Accupedo,3.8,0.8
2016-02-12,26342,Fri,Weekday,Accupedo,2.9,0.5
2016-02-13,14331,Sat,Weekend,Accupedo,1.1,0
2016-02-14,7049,Sun,Weekend,Accupedo,2,2.3
2016-02-15,17821,Mon,Weekday,Accupedo,2.1,5.6
2016-02-16,22659,Tue,Weekday,Accupedo,0.2,1
2016-02-17,24432,Wed,Weekday,Accupedo,0.1,0
2016-02-18,21024,Thu,Weekday,Accupedo,1.5,0
2016-02-19,21772,Fri,Weekday,Accupedo,3.6,2
2016-02-20,28283,Sat,Weekend,Accupedo,8.3,7.9
2016-02-21,9193,Sun,Weekend,Accupedo,10.9,0.3
2016-02-22,21710,Mon,Weekday,Accupedo,7.3,1
2016-02-23,22831,Tue,Weekday,Accupedo,4.3,0.3
2016-02-24,24719,Wed,Weekday,Accupedo,2.6,0
2016-02-25,17920,Thu,Weekday,Accupedo,1.6,0
2016-02-26,27334,Fri,Weekday,Accupedo,2.6,0
2016-02-27,13023,Sat,Weekend,Accupedo,2.6,0
2016-02-28,8428,Sun,Weekend,Accupedo,2,0
2016-02-29,22341,Mon,Weekday,Accupedo,1.9,0
2016-03-01,27990,Tue,Weekday,Accupedo,2.4,0
2016-03-02,19730,Wed,Weekday,Accupedo,5.6,3.6
2016-03-03,3241,Thu,Weekday,Accupedo,3.3,1
2016-03-04,12077,Fri,Weekday,Accupedo,3.2,7.9
2016-03-05,3417,Sat,Weekend,Accupedo,1.2,0
2016-03-06,6346,Sun,Weekend,Accupedo,3.2,1
2016-03-07,13285,Mon,Weekday,Accupedo,1.8,1.3
2016-03-08,13606,Tue,Weekday,Accupedo,2.7,0
2016-03-09,14331,Wed,Weekday,Accupedo,5.1,0
2016-03-10,9056,Thu,Weekday,Accupedo,3.9,0
2016-03-11,6015,Fri,Weekday,Accupedo,4.2,0
2016-03-12,19735,Sat,Weekend,Accupedo,3.1,0
2016-03-13,13729,Sun,Weekend,Accupedo,3.2,0
2016-03-14,11994,Mon,Weekday,Accupedo,2.8,0
2016-03-15,19117,Tue,Weekday,Accupedo,4,0
2016-03-16,18899,Wed,Weekday,Accupedo,3.8,0
2016-03-17,22424,Thu,Weekday,Accupedo,4.2,0
2016-03-18,16671,Fri,Weekday,Accupedo,3.6,0
2016-03-19,21679,Sat,Weekend,Accupedo,5.3,0
2016-03-20,27215,Sun,Weekend,Accupedo,6.1,0
2016-03-21,17930,Mon,Weekday,Accupedo,7.1,0
2016-03-22,20417,Tue,Weekday,Accupedo,7.2,0.3
2016-03-23,12920,Wed,Weekday,Accupedo,6.7,0
2016-03-24,24355,Thu,Weekday,Accupedo,7.4,0.5
2016-03-25,14510,Fri,Weekday,Accupedo,6.8,0
2016-03-26,29956,Sat,Weekend,Accupedo,8.9,6.3
2016-03-27,492,Sun,Weekend,Accupedo,8.9,0
2016-03-28,8983,Mon,Weekday,Accupedo,9.1,9.4
2016-03-29,23437,Tue,Weekday,Accupedo,8.4,6.6
2016-03-30,24683,Wed,Weekday,Accupedo,9.2,1
2016-03-31,24130,Thu,Weekday,Accupedo,7.2,3.3
2016-04-01,25055,Fri,Weekday,Accupedo,7.3,1.5
2016-04-02,23556,Sat,Weekend,Accupedo,10.1,0
2016-04-03,27433,Sun,Weekend,Accupedo,15.7,0
2016-04-04,15296,Mon,Weekday,Accupedo,12.7,0
2016-04-05,21077,Tue,Weekday,Accupedo,10.9,1
2016-04-06,22399,Wed,Weekday,Accupedo,9,0.5
2016-04-07,10671,Thu,Weekday,Accupedo,7.2,1
2016-04-08,11639,Fri,Weekday,Accupedo,7.9,3.3
2016-04-09,18418,Sat,Weekend,Accupedo,9.9,0
2016-04-10,8454,Sun,Weekend,Accupedo,10.3,0.5
2016-04-11,3877,Mon,Weekday,Accupedo,13.6,0.3
2016-04-12,13656,Tue,Weekday,Accupedo,10.8,0
2016-04-13,13508,Wed,Weekday,Accupedo,9.2,0.5
2016-04-14,14998,Thu,Weekday,Accupedo,10,0
2016-04-15,13360,Fri,Weekday,Accupedo,11.5,4.8
2016-04-16,8297,Sat,Weekend,Accupedo,8.8,8.6
2016-04-17,10069,Sun,Weekend,Accupedo,6.4,4.6
2016-04-18,18980,Mon,Weekday,Accupedo,7.5,0.3
2016-04-19,12423,Tue,Weekday,Accupedo,9.6,0
2016-04-20,6273,Wed,Weekday,Accupedo,8.7,0
2016-04-21,20282,Thu,Weekday,Accupedo,11.6,0
2016-04-22,20678,Fri,Weekday,Accupedo,10.5,0
2016-04-23,30779,Sat,Weekend,Accupedo,6.7,1
2016-04-24,22369,Sun,Weekend,Accupedo,4.6,0.8
2016-04-25,21665,Mon,Weekday,Accupedo,4.7,1.8
2016-04-26,23548,Tue,Weekday,Accupedo,4,6.6
2016-04-27,17591,Wed,Weekday,Accupedo,4.8,3.6
2016-04-28,33350,Thu,Weekday,Accupedo,4.9,8.4
2016-04-29,20753,Fri,Weekday,Accupedo,7,0.5
2016-04-30,21694,Sat,Weekend,Accupedo,7.7,2.8
2016-05-01,20769,Sun,Weekend,Accupedo,8.3,0
2016-05-02,23678,Mon,Weekday,Accupedo,11.2,0
2016-05-03,25323,Tue,Weekday,Accupedo,10.5,0
2016-05-04,21221,Wed,Weekday,Accupedo,10.1,2.5
2016-05-05,16030,Thu,Weekday,Accupedo,13.2,0
2016-05-06,20708,Fri,Weekday,Accupedo,16.6,0
2016-05-07,26116,Sat,Weekend,Accupedo,19.2,0
2016-05-08,20249,Sun,Weekend,Accupedo,19.8,0
2016-05-09,23489,Mon,Weekday,Accupedo,19.6,0
2016-05-10,17563,Tue,Weekday,Accupedo,16.6,0
2016-05-11,4475,Wed,Weekday,Accupedo,18.6,5.1
2016-05-12,12333,Thu,Weekday,Accupedo,17.6,0
2016-05-13,12891,Fri,Weekday,Accupedo,17.1,0
2016-05-14,4881,Sat,Weekend,Accupedo,9.2,0
2016-05-15,11023,Sun,Weekend,Accupedo,8.9,0.5
2016-05-16,22917,Mon,Weekday,Accupedo,10.2,0
2016-05-17,28313,Tue,Weekday,Accupedo,13,0
2016-05-18,27372,Wed,Weekday,Accupedo,13.5,0
2016-05-19,23514,Thu,Weekday,Accupedo,13,0
